outcome,effect_label,effect,gap,arm,method,true_tau,n_rep,n_identified,bias,bias_mcse,rmse,coverage,coverage_mcse,fpr,fnr,sign_correctness,claim_accuracy,claim_accuracy_mcse,attenuation_ratio,unidentified_rate,gate_rejection_rate,anticipation_classification_accuracy
launches,primary,0.15,10,anticipation,naive_announcement,0.15,2000,2000,-0.027918452045599784,0.0015514877284855146,0.07477473633342413,0.7925,0.009067627859589299,,0.4225,0.956,0.573,0.011060537961600241,0.8138769863626681,0.0,,
launches,primary,0.15,10,anticipation,verified_activation,0.15,2000,2000,-0.024220395261517702,0.001529915095983671,0.07256422884769521,0.7885,0.00913147715323211,,0.376,0.968,0.622,0.01084241670477574,0.8385306982565487,0.0,,
launches,primary,0.15,10,anticipation,activation_plus_anticipation_gate,0.15,2000,1160,-0.019169804279819347,0.002002184873845015,0.07080689234784923,0.8275862068965517,0.011090819325908222,,0.40086206896551724,0.9732758620689655,0.5974137931034482,0.014399190378137961,0.8722013048012044,0.42,0.42,0.42
launches,robustness,0.1,3,zero,naive_announcement,0.0,2000,2000,0.0010383033803500574,0.0014972683530044334,0.06695118597310994,0.8055,0.00885069912492793,0.1945,,,0.8055,0.00885069912492793,,0.0,,
launches,robustness,0.1,3,zero,verified_activation,0.0,2000,2000,0.000659533311981623,0.0015353922059986366,0.06865082670621012,0.8025,0.00890207138816579,0.1975,,,0.8025,0.00890207138816579,,0.0,,
launches,robustness,0.1,3,zero,activation_plus_anticipation_gate,0.0,2000,1077,0.003290728937488925,0.002081837326754634,0.06836858268089331,0.8170844939647168,0.01178015199984301,0.1829155060352832,,,0.8170844939647168,0.01178015199984301,,0.4615,0.4615,0.5385
launches,robustness,0.1,3,no_anticipation,naive_announcement,0.1,2000,2000,-0.01219011634334291,0.0014884001912357976,0.06765392715782641,0.8085,0.00879851549978745,,0.5595,0.902,0.434,0.011082508741255295,0.878098836566571,0.0,,
launches,robustness,0.1,3,no_anticipation,verified_activation,0.1,2000,2000,-0.0006348916711300528,0.0015348284546288192,0.06862539004862203,0.799,0.008960998828255698,,0.5075,0.9245,0.4895,0.011177874350698346,0.9936510832886994,0.0,,
launches,robustness,0.1,3,no_anticipation,activation_plus_anticipation_gate,0.1,2000,1077,0.00675064688944714,0.0020768370882834272,0.06845897091566652,0.8115134633240483,0.01191736333684486,,0.4763231197771588,0.9433611884865367,0.5190343546889508,0.015224646896133738,1.0675064688944713,0.4615,0.4615,0.5385
launches,robustness,0.1,3,anticipation,naive_announcement,0.1,2000,2000,-0.007013346148572741,0.0014788089923037401,0.06648873753953213,0.8165,0.00865528018032923,,0.529,0.9115,0.466,0.011154460991011623,0.9298665385142726,0.0,,
launches,robustness,0.1,3,anticipation,verified_activation,0.1,2000,2000,-0.004558699189806337,0.0015079567856222625,0.06757495940986047,0.817,0.008646126300257245,,0.5115,0.9165,0.4825,0.011173489830845151,0.9544130081019366,0.0,,
launches,robustness,0.1,3,anticipation,activation_plus_anticipation_gate,0.1,2000,1105,-0.0008592442667091776,0.002035746930006809,0.06764619340581823,0.8334841628959276,0.011207153222216895,,0.5085972850678733,0.9176470588235294,0.48687782805429863,0.015036240041088646,0.9914075573329082,0.4475,0.4475,0.4475
launches,robustness,0.1,5,zero,naive_announcement,0.0,2000,2000,0.0024511052985962856,0.0015641047067816805,0.06997434216342618,0.7925,0.009067627859589299,0.2075,,,0.7925,0.009067627859589299,,0.0,,
launches,robustness,0.1,5,zero,verified_activation,0.0,2000,2000,0.0016860536883265302,0.0015398820078296302,0.06886904047913481,0.7935,0.009051457065025498,0.2065,,,0.7935,0.009051457065025498,,0.0,,
launches,robustness,0.1,5,zero,activation_plus_anticipation_gate,0.0,2000,1110,0.005349462277906615,0.002081979851928115,0.06953943213612933,0.8009009009009009,0.01198567643034036,0.1990990990990991,,,0.8009009009009009,0.01198567643034036,,0.445,0.445,0.555
launches,robustness,0.1,5,no_anticipation,naive_announcement,0.1,2000,2000,-0.018684095235204243,0.0015489789608334967,0.07173121859516061,0.8185,0.008618519304381698,,0.6095,0.882,0.3785,0.010845223603042953,0.8131590476479575,0.0,,
launches,robustness,0.1,5,no_anticipation,verified_activation,0.1,2000,2000,-0.00012817257371793012,0.001530425102495208,0.06842569850508831,0.8055,0.00885069912492793,,0.504,0.9295,0.492,0.011178908712392278,0.9987182742628207,0.0,,
launches,robustness,0.1,5,no_anticipation,activation_plus_anticipation_gate,0.1,2000,1105,0.0038455214253717285,0.0020573731327784414,0.06846737763409186,0.8171945701357466,0.011627226772626415,,0.5140271493212669,0.9375565610859729,0.4823529411764706,0.015032049661541159,1.0384552142537173,0.4475,0.4475,0.5525
